"Daily exchange rates by time, type and currency"

" ","Exchange rates (DKK per 100 units of foreign currency)"," "," "," "
" ","Euro  (Jan. 1999-)","US Dollars  (Jan. 1977-)","UK Pounds Sterling  (Jan. 1981-)","Japanese Yen  (Jan. 1981-)"
"2019M03D01",746.1300,655.4800,867.9200,5.8589
"2019M03D04",746.1600,658.1600,869.9000,5.8794
"2019M03D05",746.1400,658.6100,864.0100,5.8844
"2019M03D06",746.0900,659.9600,867.8500,5.9026
"2019M03D07",746.1000,661.9600,868.7700,5.9228
"2019M03D08",746.0000,664.7700,868.4000,5.9814
"2019M03D11",746.0800,663.5400,865.1200,5.9729
"2019M03D12",746.0200,661.6600,866.0000,5.9553
"2019M03D13",746.0100,660.0100,868.6700,5.9259
"2019M03D14",746.2400,660.6800,875.5800,5.9183
"2019M03D15",746.3400,660.0100,873.7800,5.9158
"2019M03D18",746.2100,657.5100,871.1300,5.8970
"2019M03D19",746.2400,657.0200,872.3100,5.8949
"2019M03D20",746.2400,657.2500,864.9000,5.8931
"2019M03D21",746.2600,655.3600,861.2300,5.9265
"2019M03D22",746.2200,660.2500,868.8100,5.9889
"2019M03D25",746.4600,659.1300,871.6500,5.9884
"2019M03D26",746.5400,661.1800,874.8900,5.9857
"2019M03D27",746.6400,663.0300,877.1800,6.0010
"2019M03D28",746.5700,665.5100,872.6200,6.0130
"2019M03D29",746.5200,664.4600,869.7700,5.9986
"2019M04D01",746.4100,664.3000,871.3800,5.9866
"2019M04D02",746.4600,666.4800,867.9800,5.9846
"2019M04D03",746.4300,663.9100,874.1400,5.9571
"2019M04D04",746.3900,665.2900,873.8100,5.9706
"2019M04D05",746.4600,664.5200,868.6000,5.9507
"2019M04D08",746.5100,663.8000,866.1900,5.9549
"2019M04D09",746.5000,661.9700,864.6600,5.9477
"2019M04D10",746.5200,661.8700,867.2100,5.9541
"2019M04D11",746.4800,662.7100,866.3100,5.9575
"2019M04D12",746.4300,659.3300,865.0200,5.8885
"2019M04D15",746.3900,659.7600,864.8300,5.8929
"2019M04D16",746.4200,660.2600,864.0100,5.8964
"2019M04D17",746.5200,660.5800,862.1000,5.9009
"2019M04D23",746.5900,663.9300,863.6100,5.9338
"2019M04D24",746.6600,666.1300,862.7400,5.9571
"2019M04D25",746.6300,671.2500,863.8100,5.9994
"2019M04D26",746.5400,670.5600,864.6500,5.9987
"2019M04D29",746.5200,669.5200,864.6300,5.9894
"2019M04D30",746.4600,665.4100,865.4800,5.9750
"2019M05D01",..,..,..,..
"2019M05D02",746.5500,665.8500,868.7900,5.9719
"2019M05D03",746.5700,669.2700,870.2800,6.0014
"2019M05D06",746.6200,666.6800,873.5500,6.0148
"2019M05D07",746.5700,667.4700,871.7000,6.0339
"2019M05D08",746.5700,666.4600,867.1500,6.0544
"2019M05D09",746.5900,667.0200,866.9200,6.0743
"2019M05D10",746.5800,664.8100,865.6000,6.0574
"2019M05D13",746.6800,664.0100,864.7100,6.0676
"2019M05D14",746.9100,665.3400,861.2600,6.0724
"2019M05D15",746.9500,667.9300,860.3400,6.1105
"2019M05D16",746.7800,666.5900,853.8200,6.0808
"2019M05D20",746.8100,668.7700,852.3300,6.0880
"2019M05D21",746.8500,669.1600,852.4700,6.0587
"2019M05D22",746.8000,668.5200,845.9400,6.0582
"2019M05D23",746.8400,670.4700,847.7200,6.0937
"2019M05D24",746.7800,667.5400,845.5600,6.0907
"2019M05D27",746.8800,666.9800,846.5600,6.0940
"2019M05D28",746.8900,667.3400,845.1600,6.0996
"2019M05D29",746.8700,669.4800,846.5500,6.1264
"2019M06D03",746.8000,667.6800,842.7200,6.1632
"2019M06D04",746.7900,664.1700,841.5700,6.1404
"2019M06D06",746.8700,662.9400,843.3700,6.1309
"2019M06D07",746.8000,662.4700,842.1800,6.1078
"2019M06D11",746.8700,659.7800,838.3800,6.0677
"2019M06D12",746.7800,659.5200,840.9200,6.0852
"2019M06D13",746.7800,661.5100,839.5700,6.0992
"2019M06D14",746.7600,662.9000,838.1800,6.1260
"2019M06D17",746.7400,664.7100,837.0800,6.1178
"2019M06D18",746.7200,667.4900,835.2300,6.1672
"2019M06D19",746.7100,666.2900,838.8100,6.1463
"2019M06D20",746.6100,660.3100,837.4300,6.1343
"2019M06D21",746.5700,659.7500,834.8600,6.1375
"2019M06D24",746.6300,655.2800,835.4800,6.1074
"2019M06D25",746.5400,655.5500,834.2600,6.1207
"2019M06D26",746.5100,657.0200,833.1300,6.0989
"2019M06D27",746.4100,656.4700,834.6500,6.0862
"2019M06D28",746.3600,655.8500,832.4800,6.0878
"2019M07D01",746.4700,657.7400,832.0200,6.0723
"2019M07D02",746.3900,660.4600,834.4900,6.1000
"2019M07D03",746.4100,660.9500,831.6500,6.1377
"2019M07D04",746.3300,661.1700,831.7500,6.1351
"2019M07D05",746.3500,662.8300,832.0200,6.1292
"2019M07D08",746.3100,665.4600,832.7000,6.1273
"2019M07D09",746.3400,666.0800,829.5000,6.1211
"2019M07D10",746.3700,665.2100,829.9600,6.1078
"2019M07D11",746.7300,661.7000,831.6400,6.1237
"2019M07D12",746.7300,663.5800,831.6600,6.1293
"2019M07D15",746.6900,662.6100,830.8300,6.1395
"2019M07D16",746.7800,665.4000,827.3700,6.1651
"2019M07D17",746.6900,665.8000,826.5300,6.1496
"2019M07D18",746.7200,665.7600,831.0500,6.1769
"2019M07D19",746.6200,665.0800,832.9600,6.1740
"2019M07D22",746.6000,665.7200,829.8500,6.1687
"2019M07D23",746.5900,668.2100,831.1100,6.1794
"2019M07D24",746.4900,670.1000,837.4100,6.1996
"2019M07D25",746.4800,671.6000,839.0900,6.2129
"2019M07D26",746.6300,670.3400,832.9900,6.1674
"2019M07D29",746.6800,671.5400,825.5800,6.1806
"2019M07D30",746.6600,669.4100,814.6600,6.1707
"2019M07D31",746.7400,669.6600,815.0100,6.1694
"2019M08D01",746.6000,676.4500,819.0900,6.2123
"2019M08D02",746.6000,672.2500,815.9100,6.2967
