"DATE","TIME PERIOD","UK pound sterling/Euro (EXR.D.GBP.EUR.SP00.A)","Japanese yen/Euro (EXR.D.JPY.EUR.SP00.A)","US dollar/Euro (EXR.D.USD.EUR.SP00.A)"
"1999-01-04","04 Jan 1999","0.71110","133.73","1.1789"
"1999-01-05","05 Jan 1999","0.71220","130.96","1.1790"
"1999-01-06","06 Jan 1999","0.70760","131.42","1.1743"
"1999-01-07","07 Jan 1999","0.70585","129.43","1.1632"
"1999-01-08","08 Jan 1999","0.70940","130.09","1.1659"
"1999-01-11","11 Jan 1999","0.70440","126.33","1.1569"
"1999-01-12","12 Jan 1999","0.70660","129.63","1.1520"
"1999-01-13","13 Jan 1999","0.70840","131.89","1.1744"
"1999-01-14","14 Jan 1999","0.70620","132.74","1.1653"
"1999-01-15","15 Jan 1999","0.70390","131.74","1.1626"
"1999-01-18","18 Jan 1999","0.70130","132.90","1.1612"
"1999-01-19","19 Jan 1999","0.70000","132.14","1.1616"
"1999-01-20","20 Jan 1999","0.70140","131.59","1.1575"
"1999-01-21","21 Jan 1999","0.70230","130.34","1.1572"
"1999-01-22","22 Jan 1999","0.70050","131.88","1.1567"
"1999-01-25","25 Jan 1999","0.69890","132.09","1.1584"
"1999-01-26","26 Jan 1999","0.69760","131.81","1.1582"
"1999-01-27","27 Jan 1999","0.69680","131.91","1.1529"
"1999-01-28","28 Jan 1999","0.69280","132.25","1.1410"
"1999-01-29","29 Jan 1999","0.69100","132.10","1.1384"
"1999-02-01","01 Feb 1999","0.69040","130.88","1.1338"
"1999-02-02","02 Feb 1999","0.68880","127.70","1.1337"
"1999-02-03","03 Feb 1999","0.69250","126.86","1.1337"
"1999-02-04","04 Feb 1999","0.68940","127.65","1.1263"
"1999-02-05","05 Feb 1999","0.68850","127.95","1.1292"
"1999-02-08","08 Feb 1999","0.68880","127.82","1.1246"
"1999-02-09","09 Feb 1999","0.69110","129.91","1.1333"
"1999-02-10","10 Feb 1999","0.69540","130.73","1.1342"
"1999-02-11","11 Feb 1999","0.69750","129.35","1.1312"
"1999-02-12","12 Feb 1999","0.69170","128.92","1.1244"
"1999-02-15","15 Feb 1999","0.68950","129.31","1.1238"
"1999-02-16","16 Feb 1999","0.68540","131.82","1.1176"
"1999-02-17","17 Feb 1999","0.68730","133.48","1.1253"
"1999-02-18","18 Feb 1999","0.68710","134.40","1.1232"
"1999-02-19","19 Feb 1999","0.68380","133.97","1.1163"
"1999-02-22","22 Feb 1999","0.67890","133.61","1.0992"
"1999-02-23","23 Feb 1999","0.67960","133.14","1.0969"
"1999-02-24","24 Feb 1999","0.68830","133.86","1.1037"
